"date","species","N","lon","lat"
"2021-09-17","Grey seal",2,-5.05303629350713,50.1591699982959
"2021-09-17","Grey seal",1,-5.03382294262027,50.1527813641212
"2021-09-17","Grey seal",1,-5.02801837477599,50.1495439463812
"2021-09-17","Grey seal",1,-5.02661203895428,50.1481675376336
"2021-09-17","Grey seal",2,-5.0130488918425,50.1373501225339
"2021-09-17","Grey seal",1,-5.00290628251682,50.1374831608861
"2021-09-17","Harbour porpoise",2,-4.98248252958968,50.1435636851379
"2021-09-17","Harbour porpoise",2,-4.97767827145996,50.1478626002893
"2021-09-17","Harbour porpoise",2,-4.97313129997529,50.1551471685504
"2021-09-17","Grey seal",1,-4.97157356004835,50.1659904010058
"2021-09-17","Grey seal",1,-4.97158641547958,50.1660846097484
"2021-09-17","Grey seal",2,-4.96980788638874,50.176616895707
"2021-09-17","Grey seal",1,-4.95985468286174,50.1960472771029
"2021-09-17","Grey seal",1,-4.9558528273291,50.1996028607555
"2021-09-17","Harbour porpoise",3,-4.92107595543007,50.1862847979918
"2021-09-17","Harbour porpoise",1,-4.92090026422443,50.183406771617
"2021-09-17","Common dolphin",14,-4.91770999707824,50.1272920482273
"2021-09-17","Harbour porpoise",1,-4.92145874481183,50.1121180696348
"2021-09-17","Common dolphin",9,-4.92367255910169,50.1075846675372
"2021-09-17","Harbour porpoise",3,-4.93456584952667,50.0938676278688
"2021-09-17","Harbour porpoise",1,-4.9418579764293,50.0892875602849
"2021-09-17","Common dolphin",5,-4.95890253641516,50.0834317792622
"2021-09-17","Harbour porpoise",1,-4.98566751340192,50.081067068801
"2021-09-17","Harbour porpoise",4,-5.00496475164283,50.0823448182564
"2021-09-17","Harbour porpoise",2,-5.03311989656446,50.0983809642696
"2021-09-17","Harbour porpoise",2,-5.03259160853513,50.1162278086217
"2021-09-17","Harbour porpoise",1,-5.03170365171385,50.1236711525287
"2021-09-17","Grey seal",2,-5.03120714199972,50.1348345945166
"2021-09-17","Harbour porpoise",1,-5.03063201370187,50.143587877423
"2021-09-17","Grey seal",1,-5.03551054880541,50.1511913026727
"2021-09-17","Grey seal",1,-5.04720800126368,50.157818013389
"2021-09-17","Grey seal",1,-5.06882020259824,50.1600662849755
