Population,Sex,Age,BodyMass,RTL
CH,F,1,11.75,0.968687658
CH,F,1,12.25,1.148874926
CH,F,1,11.75,0.872801516
CH,F,1,11.65,1.177923509
CH,F,1,8.7,0.817461834
CH,F,1,12.75,0.99426689
CH,F,1,14.7,0.900672461
CH,F,1,13.55,1.558608453
CH,M,1,17.85,0.885761348
CH,M,1,15.55,1.355828326
CH,M,1,13.35,1.32357488
CH,M,1,13.4,1.273265649
CH,M,1,9.55,1.025537125
CH,M,1,10.9,1.086778191
CH,M,1,9.8,0.960686072
CH,M,1,9.25,1.024388072
CH,M,1,15.35,0.818502923
CH,M,1,13.55,0.939952434
CH,F,2,20.1,1.275212346
CH,F,2,17.3,1.083396145
CH,F,2,15.9,1.045965326
CH,F,2,20.25,1.242601425
CH,F,2,17.3,1.109170628
CH,M,2,20,0.874463425
CH,M,2,22.05,1.220194516
CH,M,2,23.05,1.259640996
CH,M,2,19.1,0.945225414
CH,M,2,19.1,1.082790491
CH,F,3,18.6,0.984400498
CH,F,3,20.35,0.939422485
CH,M,3,20.95,0.909274392
CH,M,3,18.7,1.175839179
CH,F,4,15.85,1.047006319
CH,F,4,23.65,1.096243971
CH,F,4,20.85,1.206622799
CH,M,4,22.7,0.901717587
CH,M,4,20.1,0.88980606
CH,M,4,24.65,0.834724791
CH,M,4,24.95,1.237002917
CH,F,5,22.6,1.136496724
CH,F,5,21.3,0.993646268
CH,M,5,22.2,1.023053767
CH,M,5,23.75,0.853188963
CH,M,5,21.9,0.708932562
CH,M,5,22.35,0.921472296
CH,F,6,18.15,0.858521416
CH,F,6,19.55,0.705780059
CH,M,6,20.95,0.827846286
CH,M,6,23.35,0.749144536
CH,F,7,18.8,0.821694159
CH,M,7,20,1.304830016
CH,F,8,22.4,1.218485677
CH,F,8,22.3,0.951450246
CH,F,8,20.85,1.081523879
CH,F,8,25.65,0.970080195
CH,F,8,21.35,0.969661959
CH,F,8,21.45,1.219824063
CH,M,8,21.7,0.764878413
CH,F,9,23.4,1.179386402
CH,F,10,18.7,1.024227446
CH,F,10,20.1,0.817059921
CH,F,10,19.8,1.204083647
CH,F,10,21.3,1.15974622
CH,F,11,22.95,0.832344773
CH,M,11,20.25,1.126584634
CH,F,13,19.55,0.765819515
TF,F,1,17.3,0.926104923
TF,F,1,15.8,0.790316566
TF,F,1,12.2,1.087034294
TF,F,1,16.3,1.000401716
TF,F,1,15.3,1.033978391
TF,F,1,13.6,1.096320795
TF,F,1,19.7,1.063718015
TF,F,1,15.8,0.927036947
TF,F,1,15.7,1.043235481
TF,F,1,16.2,1.256272207
TF,F,1,15.3,1.36292964
TF,M,1,18.3,0.978202195
TF,M,1,14.4,0.97305633
TF,M,1,19.2,1.25361865
TF,M,1,18.3,1.104498404
TF,M,1,16.8,1.2379822
TF,M,1,16.1,0.889078574
TF,M,1,13.8,1.272943409
TF,M,1,17.6,0.866968617
TF,M,1,16.8,1.017277116
TF,M,1,17.5,1.334683128
TF,M,1,18.1,1.004538245
TF,M,1,17,1.010392303
TF,M,1,15.2,1.191174565
TF,M,1,15.9,0.918775412
TF,M,1,16.2,1.208410173
TF,M,1,16.6,1.362338835
TF,M,1,21.5,1.128427348
TF,M,1,17.1,1.043616677
TF,F,2,23,0.998899256
TF,F,2,24,1.158821456
TF,F,2,18.3,1.326156264
TF,F,2,24.5,1.214687275
TF,F,2,24.9,1.124047115
TF,F,2,18.9,1.093416051
TF,M,2,27.1,1.300824955
TF,M,2,22.9,0.970948787
TF,M,2,23.8,0.767170238
TF,M,2,24.1,1.296778205
TF,M,2,15.8,1.070577338
TF,F,3,22.3,1.304162432
TF,M,3,25.8,1.015919788
TF,M,3,23.9,0.767155609
TF,F,4,22,0.983965815
TF,F,4,22.8,0.951027985
TF,M,4,28.8,1.179311486
TF,M,5,27.1,0.986838957
TF,M,5,25.9,1.218927647
TF,M,5,29,1.196413735
TF,F,6,26.5,0.994866213
TF,F,6,26.5,0.827593492
TF,F,6,19.3,1.136420933
TF,M,6,26.7,1.016331198
TF,M,6,25.7,1.118932569
TF,M,6,23.4,1.536231653
TF,M,6,24.8,0.925090772
TF,F,7,23.6,0.892228568
TF,F,7,23.9,1.064894733
TF,F,7,25.1,1.060896751
TF,M,7,26,1.177932506
TF,M,7,27.4,1.045812922
TF,F,8,24,1.257598044
TF,F,8,22.1,1.20841097
TF,F,8,21.8,1.398376139
TF,M,8,19.8,1.24529289
TF,F,9,22.2,0.983436407
TF,F,9,24.6,1.239665168
TF,F,9,25.8,1.595318577
TF,M,9,24.6,1.249563965
TF,M,9,27,1.108426589
TF,F,11,23.4,1.243616353
TF,M,12,23.8,1.20283742
TF,F,13,24.5,1.145970782
